,AL1,AL2,AL3,AL4,AL5,AL6,AL7,AL8,AL9,AL10,AL11,AL12,AL13,AL14,AL15,AL16,AL17,AL18,AL19,AL20,AL21,AL22,AL23,AD1,AD2,AD3,AD4,AD5,LL1,LL2,LL3,LL4,LL5,LL6,LL7,LL8,LD1,LD2
Cre16.g670800.v5.5,90.3573,105.3,79.5675,97.2043,115.738,76.5061,184.136,194.065,101.101,79.0606,75.1666,188.483,169.091,120.222,142.565,127.73,99.6845,107.512,105.693,94.7674,101.55,94.2499,62.2448,131.292,133.173,110.746,58.3707,109.597,77.7755,46.1373,36.7484,35.8737,72.6297,53.0545,104.41,49.4063,52.8125,45.8605
Cre16.g670850.v5.5,5.99646,7.12689,7.6495,7.37775,7.19354,6.08234,8.28153,6.45072,6.53114,5.9124,6.78022,8.73418,8.6634,9.69289,8.79637,8.84494,8.63216,8.95968,8.32635,7.91781,7.78983,4.89513,3.78456,12.7861,10.1105,13.4279,13.751,8.39409,1.94862,3.08818,2.94673,2.77037,2.039,2.70953,0.943695,2.44754,10.0214,10.9099
Cre16.g670950.v5.5,7.15656,5.81055,7.31419,7.33461,6.88028,7.34722,7.79758,7.79323,8.33382,5.95966,6.9096,9.10808,10.4209,7.64307,9.36329,4.63099,4.81853,6.89668,7.14501,10.1892,9.36958,3.87858,4.34956,5.24474,4.82196,5.28287,2.2796,5.35831,6.81887,9.06,11.4266,8.98574,7.78036,8.97296,5.12868,7.66142,10.4152,9.07274
Cre16.g670973.v5.5,44.146,34.8741,37.6046,41.4268,31.738,34.5922,33.5342,36.8243,33.6871,40.194,35.1603,46.4682,34.0599,50.35,32.7248,51.0365,37.7643,40.8673,40.9524,31.9035,47.0276,33.5796,42.7132,38.2082,38.8305,37.7291,14.9324,27.5655,60.126,50.5657,43.1798,38.1422,45.2158,29.0889,32.3961,44.6079,56.401,46.8388
Cre16.g671000.v5.5,7.3335,7.83145,6.68801,10.8867,10.4145,9.98179,10.3301,12.4052,8.24328,8.9753,9.99245,8.94909,11.3144,7.26079,6.71735,10.2777,8.25434,11.9886,9.67502,9.92917,10.3058,10.3848,7.15485,11.7745,11.7166,7.43982,12.4425,7.48719,3.85335,2.38666,5.99582,3.11139,3.40335,2.73277,1.81054,2.55511,4.33736,4.04787
Cre16.g671100.v5.5,6.27501,6.00046,6.21756,8.71902,4.69697,5.40884,6.43259,4.80623,6.19014,7.06759,5.60903,8.81695,5.13707,6.20164,6.94731,8.8021,7.80718,6.97756,4.97654,6.60214,7.87139,6.24324,5.43617,7.0511,8.8639,7.24096,10.5541,3.90603,3.76555,2.85082,3.14617,3.36454,4.10851,3.20061,4.72666,4.42574,6.37967,6.13125
Cre16.g671150.v5.5,0.528393,1.40502,3.33333,0.962736,2.69485,0.259442,2.44201,1.17178,0.531405,5.07227,0.405592,1.55135,0.397795,2.84094,5.3299,3.54833,0.87252,0.222647,4.20644,1.623,3.50259,4.22775,0.923849,0.949744,2.0238,1.52195,2.00336,3.65688,0.398756,0.319267,0.838552,0.656417,0.809317,0.531858,0.77581,0.851718,0.695243,0.692733
Cre16.g671329.v5.5,16.4248,17.6949,14.097,17.1809,16.174,17.4123,17.4851,15.5531,15.8025,15.8584,18.6965,18.8187,18.5484,15.8956,18.5741,21.5228,17.7529,18.561,15.6734,14.3645,16.1964,17.6391,11.4608,16.2641,13.2801,13.573,23.252,13.9271,7.54054,9.49887,4.58213,7.49561,8.03114,9.33862,7.21487,7.78708,9.43713,10.0616
Cre16.g671400.v5.5,0.158155,0.548725,0.314347,0.533095,0.492528,0.555661,0.204462,0.513342,0.306276,1.54533,0.820203,0.520966,0.565945,0.495459,0.520262,0.641529,0.600648,0.817449,0.467065,0.147572,0.657614,0.639998,0.445198,24.7145,21.8495,9.11649,4.35902,5.08485,0.152607,0.101678,0.0986928,0.103842,0.107919,0.0527655,0.0394952,0.0915484,0.290596,0.286141
Cre16.g671450.v5.5,5.20061,2.74459,4.83703,3.91777,3.52985,5.37529,5.48304,3.24619,5.46962,5.19928,4.23027,3.21204,5.69564,3.40794,2.27988,3.74474,4.60882,5.27722,5.85788,6.06545,6.18003,7.29124,10.1618,2.94931,5.11107,4.27374,5.86628,4.53353,1.52289,0.9436,1.59707,1.69882,1.77087,1.77831,2.38787,1.56446,2.01769,2.25165
Cre16.g671500.v5.5,4.35571,3.09243,2.48107,3.43577,4.41126,3.88249,7.57291,4.31031,5.42909,7.58568,4.30798,7.74257,6.10115,5.38631,7.35734,9.48878,9.68361,5.79149,6.94149,4.74383,5.56772,13.2554,9.03561,2.89866,2.7446,3.10769,3.43273,6.3555,0.856093,0.607812,0.846961,0.936469,1.47432,0.797229,0.725308,0.846511,2.12418,2.08219
Cre16.g671600.v5.5,1.24763,1.2707,1.02685,1.35532,1.21502,1.21313,1.3087,1.27895,0.982495,1.148,1.07862,0.960347,1.16299,1.49865,1.14685,1.16386,1.23094,0.948695,1.10789,1.37164,1.10677,1.59451,1.07929,1.49239,1.18027,1.54917,1.3018,1.79417,0.474443,0.227006,0.291254,0.254994,0.409245,0.332506,0.470704,0.454146,1.16316,1.39629
Cre16.g671650.v5.5,5.84454,6.37963,5.20742,6.24209,4.84609,6.57467,5.04202,4.20524,5.83594,7.73151,6.41173,4.95132,6.97953,5.64902,7.79277,5.39757,5.61274,5.91395,8.58023,5.30475,7.85586,7.83086,5.64583,7.77619,5.74721,7.83124,7.27062,3.50553,4.83065,4.08991,2.377,3.34027,3.42383,3.58018,1.69883,3.07223,0.217647,0.0816453
Cre16.g671685.v5.5,14.5133,17.2394,15.9086,12.4749,12.388,16.2901,15.3239,16.7681,17.6893,14.247,14.3915,12.3091,10.4918,14.9461,21.3292,10.2681,9.37597,11.0982,12.1747,13.786,10.4003,11.2192,12.5257,8.57125,7.94369,9.14719,9.57308,15.4009,6.45668,5.31626,4.5611,5.87315,6.2375,4.09903,11.1897,6.79709,7.66062,8.22906
Cre16.g671700.v5.5,1.03691,1.51127,1.20371,1.60018,1.39652,1.40486,0.921284,0.794432,1.0723,1.59147,1.28224,0.997449,0.598451,0.73693,0.793166,0.739129,0.841898,0.830169,0.831552,1.08135,1.07633,1.27035,1.25813,2.21724,1.84369,2.22248,1.886,1.31915,0.552493,0.640717,0.441812,0.59136,0.619103,0.624351,0.436477,0.741449,0.657001,0.754748
Cre16.g671713.v5.5,0.758741,1.3173,1.00538,1.44826,0.975157,0.997392,2.49116,0.837664,1.18558,1.73121,1.19601,1.16039,0.333672,0.47658,1.78281,0.901891,1.37226,0.525255,1.12036,0.553821,0.813757,1.74057,0.639291,2.30024,3.45825,1.92735,3.9385,3.61841,1.28931,1.26106,0.865882,1.03574,1.14535,0.721846,1.3453,0.823083,1.21051,0.827958
Cre16.g671750.v5.5,34.1031,33.2638,35.461,26.8049,24.3499,28.5525,36.4251,21.247,33.6066,20.0597,31.1755,31.0707,36.6022,33.5641,29.2184,38.2383,31.817,25.3245,30.3177,33.6415,28.2752,18.0352,17.6895,36.7575,26.112,42.5813,40.4477,16.0959,32.1894,28.1992,30.12,27.7739,26.4304,28.5642,22.448,29.2899,28.5107,22.9278
Cre16.g671800.v5.5,1.78292,1.06986,2.0973,1.9723,2.5118,2.37415,1.85546,2.41829,2.20199,3.43564,3.57328,2.12746,2.73012,3.35966,4.22081,3.57632,2.48742,3.02673,4.9967,3.68611,3.78237,0.701152,1.273,0.270761,0.246564,0.234785,0.453275,0.939723,3.14141,2.28909,4.04937,2.80179,4.5639,2.56294,2.69313,3.72113,3.67708,3.53292
Cre16.g671900.v5.5,39.4888,34.6124,29.8048,26.5546,24.673,31.3797,32.1252,28.8542,34.9089,25.2758,28.8076,35.7943,39.1596,35.7177,39.6524,36.2784,32.8405,30.9116,33.6453,41.2833,32.0999,31.6007,38.0062,16.1315,13.6727,21.0544,26.5219,30.7787,49.4217,33.8141,25.5895,36.0258,40.3815,41.6495,53.7049,30.641,50.1607,48.3029
Cre16.g671937.v5.5,1.74911,2.80267,1.85279,2.15547,2.04794,2.32235,1.41692,1.59274,2.13344,3.01912,1.99732,1.42365,2.13638,2.448,2.12452,1.19518,1.46242,1.6644,2.29243,1.78935,1.83231,2.48867,2.60631,1.03699,1.11979,1.52812,0.707282,1.71511,1.00738,0.506148,0.67072,0.767661,0.835775,0.595206,1.08898,0.849506,1.54614,1.74995
Cre16.g671950.v5.5,60.5421,26.4353,34.3878,39.2795,37.0022,51.1588,71.9895,55.094,61.8637,42.8178,63.7083,118.254,140.033,99.6998,126.437,147.16,133.229,97.2292,90.4597,92.3457,97.3212,81.2672,41.9444,29.5334,37.1734,40.3635,44.6836,64.1612,26.4178,18.3214,26.9613,39.1634,19.8278,31.3939,18.4974,29.3411,33.911,36.3163
Cre16.g672000.v5.5,4.52565,3.13838,4.62486,3.07272,2.6149,3.48223,2.69845,3.10154,2.93977,3.12878,4.14571,4.57073,4.97806,4.78691,4.84175,4.32961,4.67024,4.00005,3.97174,3.7274,4.66008,3.00293,3.91455,3.74187,7.41367,4.00411,9.57424,3.73579,2.80078,1.57481,3.67662,2.59603,3.06879,2.82305,3.42488,2.18162,5.62938,6.48811
Cre16.g672041.v5.5,9.61046,8.90957,8.47079,10.25,9.86574,11.0697,8.50941,9.65027,8.20746,9.85005,12.4854,12.0557,10.7248,8.67833,10.3856,7.97882,8.06067,9.18996,8.90468,7.71175,9.9311,12.0107,13.0766,13.4255,12.9417,10.3767,13.9698,14.1967,4.76084,8.81807,3.16691,6.18407,4.81403,4.95662,2.54005,4.59909,12.1836,12.7225
Cre16.g672049.v5.5,6.00061,9.00303,7.20914,9.26698,5.52509,7.63262,6.78934,6.06667,6.30109,8.05108,7.64158,4.12923,7.61471,3.69326,4.821,4.58467,4.46429,5.60962,4.64268,5.88935,5.91014,4.75193,5.70209,8.44455,8.56411,9.10534,7.07202,7.43033,2.7061,2.18618,2.53,2.25453,3.80415,2.28925,3.29821,3.91874,4.59765,4.7094
Cre16.g672050.v5.5,3.65292,4.38488,2.47058,4.55213,3.792,5.31908,2.72646,3.45864,4.45699,11.6134,6.43025,4.60075,4.13406,5.35375,3.77819,5.30286,5.03891,5.30601,5.13982,4.15306,5.02983,8.44391,10.9934,7.78464,6.71334,6.62692,4.04311,6.52109,2.55746,1.21214,1.50859,1.58109,2.13391,1.73146,1.92191,2.43135,11.7897,9.72548
Cre16.g672100.v5.5,2.47988,1.40623,1.72123,1.90955,2.92162,1.93865,0.982431,1.24724,2.00631,2.30216,3.09468,2.94173,3.1011,2.4663,1.99343,2.47182,3.39349,2.01862,1.75825,1.82993,2.04592,2.43674,1.5671,1.2042,1.48373,2.1589,2.03802,2.45848,1.03324,0.982862,1.87952,1.19101,0.808293,1.42607,0.761463,1.05447,2.49956,2.32648
Cre16.g672150.v5.5,18.5535,21.8045,22.6397,15.738,20.1492,19.2008,13.9005,17.0628,17.1656,24.8605,21.6656,11.4621,10.5381,8.56832,12.0733,11.4819,10.1347,12.2048,10.1621,10.1191,12.3613,21.435,27.0991,11.1946,11.0045,10.1622,9.64477,21.512,5.03215,6.10021,4.32003,5.54116,6.17612,6.14299,5.01933,6.13356,10.6111,11.4519
Cre16.g672161.v5.5,1.67804,1.7432,1.6798,1.68495,1.69741,1.58312,1.07761,1.87408,1.91092,1.08739,1.49331,0.509338,0.629109,1.16115,1.01253,1.08914,1.71167,1.15723,1.2388,1.23274,0.965465,1.20363,0.940705,1.15947,0.886989,1.12216,1.42077,1.19419,0.601744,0.465228,0.609009,0.423317,0.314355,0.332832,0.717469,0.903259,1.47633,1.9652
Cre16.g672200.v5.5,2.69468,3.26594,2.50349,3.43732,3.56095,2.9599,3.60455,4.46216,2.86763,3.23335,2.85959,3.23569,3.31629,2.43516,2.71146,2.69111,2.61184,3.2811,2.75278,2.877,3.01743,2.33854,2.24345,2.6842,2.45009,2.83129,2.41253,1.61262,0.678386,1.08306,0.88339,0.88741,1.0236,0.928051,0.747877,1.14856,2.15358,2.41339
Cre16.g672273.v5.5,0.442408,0.341462,0.357226,0.0755692,0.487954,0.190825,0.0794365,0.470111,0.178489,0.155869,0.701733,0.956354,0.191513,0.091181,0.502664,0.01,0.0420064,0.0893256,0.0408289,0.184281,0.335335,0.0799228,0.111192,20.2556,19.1585,36.0889,7.53509,1.16593,0.0444705,0.266855,0.203681,0.238897,0.0431012,0.102036,0.0836403,0.0952316,0.597691,0.600298
Cre16.g672300.v5.5,30.78,32.2787,29.7383,29.8278,32.5072,20.8999,38.0657,47.0231,27.1099,18.296,19.8349,46.3187,29.274,41.9882,26.9852,34.6662,32.4569,26.9047,31.1777,23.0092,28.1773,27.182,31.4965,17.1923,15.6492,17.1847,14.2186,32.7489,80.687,51.2154,28.6658,40.9457,57.5021,50.8827,72.6977,47.3423,67.9201,56.4812
Cre16.g672350.v5.5,4.39547,6.02773,4.03621,5.83025,5.93165,5.34991,5.36043,6.18231,4.61544,5.19507,5.26715,7.60135,7.16409,5.72537,5.42601,7.29637,6.3834,6.09132,4.97163,6.19314,6.35109,3.48116,1.94433,4.38289,6.29955,3.81177,3.14838,4.64258,1.33968,1.33482,2.85753,1.46825,1.9559,1.73242,0.88518,1.90453,1.0927,1.07095
Cre16.g672385.v5.5,32.4241,36.5083,37.0994,39.3434,30.9568,34.511,30.0051,30.3793,29.9255,32.6026,36.3756,33.1758,29.1047,23.7804,21.6148,22.5013,23.5995,32.4486,32.9458,30.8966,39.1254,25.0235,24.8349,205.122,214.159,153.012,188.666,52.8709,28.0642,38.8567,30.0873,34.4868,30.1937,32.9163,15.6467,27.1123,40.7868,40.2192
Cre16.g672397.v5.5,16.6015,11.793,13.6221,12.4307,12.4047,17.1995,16.6454,20.6748,19.9963,12.6644,10.1288,12.7521,15.6796,15.1352,13.7094,12.9019,17.8082,15.1608,15.0808,16.962,18.1959,16.2344,23.3787,11.8119,12.2759,11.0815,22.8898,13.5776,22.5987,22.0574,20.373,26.8394,19.5356,22.2143,19.1792,18.5248,13.8541,13.2412
Cre16.g672400.v5.5,4.26819,3.34659,4.38078,3.08093,3.51065,3.21925,2.62996,2.01876,2.87314,3.44032,3.21695,3.39964,1.99234,2.65347,1.87772,2.76545,2.58656,2.3734,2.34189,4.13483,2.06082,2.08989,2.77624,18.1464,13.8291,11.0366,8.97082,5.97453,1.31457,1.29063,0.784329,0.778139,0.632111,1.2363,1.67588,1.00735,1.43687,1.09712
Cre16.g672450.v5.5,3.90922,3.06559,3.30919,3.31999,4.55972,3.55812,2.37462,3.76761,3.5443,5.9406,4.55365,3.29924,3.67751,3.62045,7.03936,4.02887,4.28952,3.54748,3.74165,4.05293,4.43158,6.78999,4.91063,6.16604,4.45625,3.52971,1.57846,2.95123,2.07092,1.50794,1.09626,0.973376,1.15966,1.37404,2.26436,1.23926,1.77323,2.21149
Cre16.g672497.v5.5,3.84981,5.4632,3.74573,4.66225,4.69035,3.31928,4.727,4.06192,3.36062,4.09345,4.66766,7.62209,3.81855,5.89149,3.99124,3.43467,3.62455,3.16493,3.89755,3.87187,2.97547,2.19889,1.64084,0.867244,1.44497,0.466074,0.161533,0.486007,1.63575,1.28031,1.07112,1.02443,1.059,1.4205,2.19732,1.83858,5.58128,5.64455
Cre16.g672500.v5.5,3.13906,3.97833,1.93629,4.73329,2.94956,2.56364,2.97365,1.2966,2.72214,2.56784,3.01581,2.67417,4.56077,4.99725,2.15519,3.92631,3.20662,3.58424,1.91799,3.22829,4.17262,1.32971,1.2188,3.46801,2.63599,2.79388,0.210697,0.68464,1.38917,1.10124,1.00203,0.980354,1.4161,1.2124,1.65357,0.849761,1.81333,1.46874
Cre16.g672600.v5.5,12.8501,14.4006,13.6987,11.9135,14.7545,15.0312,10.9336,15.8423,14.1917,11.9543,12.5355,12.9106,9.2674,15.568,11.124,9.37402,9.43482,11.9073,12.2272,10.0112,12.3781,12.308,15.4517,10.1863,8.78891,13.5971,16.8259,15.2227,20.6902,21.4331,21.4277,22.1581,24.796,18.251,16.7754,21.3358,15.3892,15.8643
Cre16.g672602.v5.5,8.38813,8.15605,7.80991,6.98905,7.09098,9.74371,11.8999,10.7987,11.2304,8.62207,7.57174,10.6436,10.2218,10.6125,12.1772,10.2846,10.1089,10.3289,10.9144,9.00181,11.0613,15.0135,17.826,2.94412,2.95459,3.3046,2.58642,7.22247,8.92106,10.6828,4.59165,7.70697,7.92401,10.7723,21.7018,13.9931,16.8086,17.856
Cre16.g672609.v5.5,2.30443,3.49814,1.68653,2.29463,2.89284,3.0933,1.4498,3.50656,3.29606,3.86017,4.59272,5.13411,3.81485,2.62141,4.31453,4.93295,4.69483,3.20278,3.50824,2.52406,3.31157,6.21337,6.82447,0.1477,0.0151313,0.030738,0.01,0.188309,6.89897,3.71697,1.43232,3.21161,2.09645,1.44908,2.56477,2.52992,9.26767,11.2257
Cre16.g672650.v5.5,120.278,105.283,133.694,114.762,83.2634,135.932,103.05,85.711,129.31,141.15,119.358,113.486,132.866,147.618,164.272,111.712,117.807,118.367,148.366,110.695,164.724,182.5,184.19,181.219,144.654,131.591,170.325,138.28,353.176,349.539,337.18,311.894,342.688,297.856,307.728,284.662,530.353,514.438
Cre16.g672750.v5.5,75.605,100.317,100.529,96.1256,70.7686,87.3879,86.4213,57.1093,82.3014,103.033,86.3507,81.4866,70.7239,62.7839,69.4732,61.2095,63.6326,59.5124,68.829,81.9969,60.0565,77.9808,71.5573,94.9284,104.324,99.7974,65.5114,72.0041,56.3587,60.8878,43.3876,49.7939,60.2493,53.6128,50.7528,51.9052,68.5727,62.7777
Cre16.g672753.v5.5,19.4728,15.0505,14.3313,16.548,26.4657,22.6698,20.905,25.1842,22.659,34.7036,27.3565,24.2675,22.6663,23.9926,24.1531,33.299,33.4937,21.7181,24.7514,23.2783,24.1068,49.4798,39.8531,10.3728,9.91784,12.5805,3.38718,27.2991,4.64404,7.27305,6.82843,7.58895,4.4334,5.44546,2.70817,5.91007,9.76445,7.70867
Cre16.g672800.v5.5,33.7177,55.4154,51.5533,51.4224,40.3682,41.2272,50.3169,55.5506,48.8109,58.4995,44.7559,45.6608,46.7933,54.194,39.1343,22.5222,24.018,39.334,45.3621,48.123,39.8097,40.9331,43.9515,47.2278,47.135,45.8779,7.62297,26.3288,42.2245,55.4273,45.0154,44.4781,54.4917,41.3199,55.2998,56.3515,63.5714,55.5795
Cre16.g672850.v5.5,13.7395,12.2871,12.4176,11.9264,11.733,12.1494,12.1953,11.2592,13.0387,8.52451,10.6981,16.3955,14.2444,13.5069,11.5574,13.1848,13.1932,11.9757,10.8329,12.4569,9.83597,11.2647,9.54912,12.5818,12.7359,17.2631,13.2812,8.82686,3.67798,1.78905,4.44333,2.65407,4.64072,3.51176,7.74673,3.70468,6.50025,5.84697
Cre16.g673000.v5.5,1.42036,1.04871,1.77227,2.04157,2.75228,1.82185,1.50753,3.14666,1.77431,2.26857,2.80364,3.21011,3.73456,4.03329,3.67505,5.0228,4.72302,3.46675,1.93419,2.62959,2.87093,2.737,1.63737,0.92645,0.614919,1.56144,1.10586,1.53052,1.2285,0.572266,1.07123,0.872399,0.695879,0.518899,0.857869,0.801771,1.43283,1.75125
Cre16.g673001.v5.5,109.201,117.177,100.391,137.653,167.425,145.89,146.165,137.112,121.515,116.006,115.78,161.263,179.268,153.315,251.495,252.722,242.853,194.205,174.017,189.192,178.755,120.437,104.2,104.196,112.81,69.9295,94.3829,83.1143,162.684,128.35,178.345,108.001,127.631,131.273,115.239,149.405,88.0576,87.6081
Cre16.g673050.v5.5,6.63402,5.1936,7.28045,6.56271,3.80241,5.6176,11.254,5.59865,8.99827,15.0275,9.52063,4.72579,4.88634,4.42899,3.66419,3.11132,2.59697,4.73348,4.80777,7.5133,8.46151,14.8619,20.8839,2.45652,6.96378,1.68086,0.01,0.514869,13.2218,9.0497,9.85658,21.7675,18.971,11.6236,13.658,25.9669,0.483849,0.589041
Cre16.g673057.v5.5,7.9221,7.53889,10.421,7.80101,5.22085,7.13573,12.4774,11.1522,8.69109,10.3769,4.57019,7.45781,7.3044,4.71535,8.20964,4.84635,5.1435,10.1676,8.83403,8.90584,5.97984,11.085,9.34575,37.928,34.4705,35.4077,12.2592,6.58374,3.10414,2.60601,2.29696,3.57701,4.12802,9.40016,13.5058,6.17646,1.93632,2.18067
Cre16.g673100.v5.5,1.57618,1.51844,1.82301,1.57313,1.65852,1.27238,1.03931,1.03933,1.32825,1.56172,1.72138,1.17838,1.21706,1.87151,1.34583,1.08265,1.27481,0.999196,1.39008,1.20112,1.15568,0.793005,1.12057,2.08602,1.59481,1.92526,1.52451,1.68413,0.864819,2.22555,0.668536,2.2771,1.2874,1.42179,0.576217,3.40966,2.73861,3.69855
Cre16.g673109.v5.5,168.31,126.031,124.289,163.535,140.098,130.932,182.714,144.861,135.364,125.334,136.835,221.122,189.492,226.498,165.747,241.977,215.726,191.884,185.71,157.186,201.188,152.148,101.192,264.452,235.44,258.91,256.637,154.458,187.344,259.193,187.264,225.931,200.179,215.98,129.483,197.247,187.869,177.609
Cre16.g673150.v5.5,7.17671,7.9112,7.10661,8.35413,7.6235,7.41559,6.67862,6.57996,6.68338,7.87852,8.60012,6.7362,7.94276,6.61633,6.23497,6.30058,7.30729,8.24719,7.99535,7.80061,7.30874,7.84407,8.63733,20.3748,18.6618,15.9117,14.3395,10.2495,5.31893,5.24177,2.98367,3.54518,3.61691,3.84473,4.24897,4.36415,5.37978,4.96421
Cre16.g673200.v5.5,3.4527,5.53233,4.39139,3.34742,3.27176,4.26283,2.32054,2.52141,4.25138,6.08598,5.41757,1.76077,2.98002,2.063,4.25029,2.00146,2.93534,2.76283,2.59591,2.32229,2.41469,3.81494,5.46463,5.42138,4.82957,5.12342,3.20611,4.80828,0.705702,0.236987,0.287573,0.233942,0.354914,0.190592,1.05439,0.310426,1.38658,1.7384
Cre16.g673250.v5.5,0.129093,0.110951,0.0789486,0.0316626,0.113391,0.165099,0.213962,0.01,0.0667723,16.1869,0.378023,0.188084,0.126086,0.106425,0.236399,0.317594,0.218731,0.256621,0.117304,0.142299,0.129032,11.2037,7.00822,0.01,0.0210282,0.0128146,0.01,0.204115,0.01,0.0110767,0.01,0.01,0.01,0.0109912,0.0174939,0.01,0.01,0.01
Cre16.g673281.v5.5,10.9566,11.4456,13.2219,11.1285,9.8549,11.8482,12.4393,17.6711,14.4237,11.6367,9.68683,11.0404,9.30941,16.1579,15.3172,9.60859,13.6989,12.4766,13.7167,14.8309,12.7926,14.6219,18.6641,25.1235,21.7895,24.6798,21.99,10.0079,13.202,9.04047,7.62027,14.2922,14.5991,13.5938,12.7951,14.5692,14.8573,12.6402
Cre16.g673300.v5.5,0.0240301,0.01,0.01,0.0218916,0.024945,0.0603053,0.0345178,0.111425,0.0258532,46.8242,0.01,0.01,0.221915,0.01,0.01,0.03749,0.036506,0.01,0.01,0.256247,0.124898,34.5902,23.7139,0.0596053,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0124208,0.0225611,0.01,0.01,0.01
Cre16.g673450.v5.5,1.14986,1.24171,0.976506,1.88554,1.06342,0.821971,1.57161,1.32486,1.21835,1.15233,1.05347,1.66427,1.64904,1.2984,1.10399,2.26143,1.89495,1.81218,1.75962,1.21228,1.66616,2.46418,1.18822,0.726002,0.909043,0.485628,0.542564,0.771317,0.145778,0.0447672,0.0592509,0.0401404,0.0803809,0.0441363,0.123588,0.107396,0.128049,0.109275
Cre16.g673505.v5.5,19.7168,25.2801,23.9711,19.5816,17.5316,18.2004,16.4825,17.3607,19.4739,24.7497,18.1448,19.7638,17.5374,18.3864,18.5374,14.687,11.0489,18.4698,16.2275,21.9451,14.5599,24.7583,25.7037,103.926,85.1132,78.1474,54.8023,27.8561,5.94338,5.13272,4.21579,5.17733,6.28458,6.28884,8.86327,6.28327,3.14397,2.9725
Cre16.g673550.v5.5,3.44118,3.18432,3.43273,3.04029,3.88223,3.34029,4.38345,2.76978,3.40187,3.62346,5.10096,3.81765,4.78166,3.51137,3.82204,3.18069,2.48557,2.7686,3.81574,3.10707,4.9495,2.36466,3.33161,10.1139,10.5923,12.7695,6.36944,5.50274,3.41962,9.42916,15.5226,9.92015,6.4571,7.65865,3.46428,8.71177,8.39314,8.19166
Cre16.g673600.v5.5,8.55409,9.57066,8.11571,8.00322,10.4639,10.7956,7.69,9.24352,10.4677,9.95097,7.76399,9.8906,7.44599,12.4448,8.9475,9.87075,10.338,9.72605,9.86607,8.11489,9.90388,13.0263,16.7782,2.8577,4.42286,1.95159,3.19829,15.2166,6.93446,6.8469,2.66533,6.04861,5.33513,4.72392,7.09203,6.31421,21.398,24.8046
Cre16.g673617.v5.5,4.78747,5.6503,4.65795,7.47234,5.61267,6.21729,5.48229,5.56267,5.2047,5.00119,8.57036,5.70699,3.78728,6.67924,5.04284,5.30147,5.87423,4.73159,5.09181,6.41504,5.94527,3.43531,3.52731,10.062,7.50067,8.29534,14.0235,7.60526,3.96144,6.38639,4.7963,4.10673,3.76991,3.69121,1.33264,3.19152,6.0067,6.90511
Cre16.g673650.v5.5,306.129,186.107,197.821,291.698,312.495,278.697,239.174,721.948,275.22,203.151,341.077,407.58,444.373,505.278,564.381,515.088,482.061,534.644,653.471,374.67,762.894,127.92,92.0422,150.781,183.67,76.2183,55.6291,203.154,1258.54,1995.71,2582.6,2051.01,2191.82,1879.3,1967.25,1822.84,1462.74,1404.71
Cre16.g673700.v5.5,8.57378,10.0519,6.8944,8.71009,6.93485,8.67108,7.877,3.32341,6.01612,8.11875,11.9226,9.10967,7.58658,4.43718,4.88174,5.4222,4.72504,5.02384,4.77249,7.17449,6.44307,6.85354,4.55721,12.031,11.661,10.7736,24.0269,10.2495,4.54805,7.64385,6.05367,4.66943,3.05565,3.96771,0.665919,3.99925,10.217,10.7818
Cre16.g673729.v5.5,76.3246,63.5229,75.1117,83.5009,80.2994,72.6538,80.7884,63.5831,74.5436,68.5369,101.011,102.762,115.262,96.5062,114.265,95.5107,92.9256,72.3686,77.0491,80.9469,82.6707,65.7651,60.3272,114.291,86.9916,116.331,103.271,81.7325,87.3191,197.642,150.47,175.656,112.924,145.007,46.5917,128.025,117.791,107.644
Cre16.g673821.v5.5,12.318,15.3585,15.4876,12.4558,14.0486,14.1142,11.2566,14.6951,13.8518,16.5091,13.5082,8.46547,7.48212,11.6058,11.3429,7.64363,7.92354,12.003,11.4966,9.07054,11.537,15.1738,20.2824,16.1511,13.6938,15.7276,20.4426,20.2711,7.36608,13.1679,6.32898,11.6201,9.60818,9.34637,8.36878,11.5748,19.2387,18.2018
Cre16.g673841.v5.5,21.561,18.838,22.9537,21.7285,16.4964,16.5936,17.9929,17.9144,17.5177,16.1636,17.4425,18.8365,17.2484,18.1434,22.8716,18.6489,16.2928,17.2329,18.929,18.0923,15.7741,14.8268,19.1603,23.3689,22.9234,21.3137,29.0085,18.9309,14.0282,11.4454,7.56474,10.3738,12.3892,9.74169,11.7769,10.476,34.9545,32.978
Cre16.g673900.v5.5,6.88468,6.70422,8.45083,9.31481,6.81067,7.0992,10.2566,9.27148,7.97534,5.52366,7.18301,10.3849,8.89144,8.28888,6.50573,6.85933,6.39438,8.69799,8.17806,7.89365,7.55822,4.61376,4.92038,9.25711,9.62792,11.128,10.1633,5.28137,5.83751,7.42867,7.21535,6.48172,5.08906,6.32702,3.83119,5.62285,6.66757,6.37189
Cre16.g673953.v5.5,17.151,15.523,16.3432,18.0037,9.59804,21.2109,19.4151,13.5273,18.9838,18.5673,18.5354,15.0539,20.6159,13.4994,17.8411,15.6362,17.1581,18.3572,23.2409,19.6131,23.1112,13.5327,16.4053,20.8917,18.6528,18.4627,22.3142,24.7051,16.5923,30.0723,23.6917,29.292,23.0283,26.8544,10.3165,22.109,5.87308,6.72434
